# Index	Name	log nH [cm^-3]	R [kpc]		Tk	Z
229		dif_229	-4.0600       	-0.7000       	3.3000e+00    	-1.8000       
230		dif_230	-4.0600       	-0.7000       	4.1000e+00    	-1.8000       
231		dif_231	-4.0600       	-0.7000       	4.9000e+00    	-1.8000       
232		dif_232	-4.0600       	-0.7000       	5.7000e+00    	-1.8000       
233		dif_233	-4.0600       	-0.7000       	6.5000e+00    	-1.8000       
234		dif_234	-4.0600       	-0.7000       	2.5000e+00    	-1.2000       
235		dif_235	-4.0600       	-0.7000       	3.3000e+00    	-1.2000       
236		dif_236	-4.0600       	-0.7000       	4.1000e+00    	-1.2000       
237		dif_237	-4.0600       	-0.7000       	4.9000e+00    	-1.2000       
238		dif_238	-4.0600       	-0.7000       	5.7000e+00    	-1.2000       
239		dif_239	-4.0600       	-0.7000       	6.5000e+00    	-1.2000       
240		dif_240	-4.0600       	-0.7000       	2.5000e+00    	-0.6000       
241		dif_241	-4.0600       	-0.7000       	3.3000e+00    	-0.6000       
242		dif_242	-4.0600       	-0.7000       	4.1000e+00    	-0.6000       
243		dif_243	-4.0600       	-0.7000       	4.9000e+00    	-0.6000       
244		dif_244	-4.0600       	-0.7000       	5.7000e+00    	-0.6000       
245		dif_245	-4.0600       	-0.7000       	6.5000e+00    	-0.6000       
246		dif_246	-4.0600       	-0.7000       	2.5000e+00    	0.0000        
247		dif_247	-4.0600       	-0.7000       	3.3000e+00    	0.0000        
248		dif_248	-4.0600       	-0.7000       	4.1000e+00    	0.0000        
249		dif_249	-4.0600       	-0.7000       	4.9000e+00    	0.0000        
250		dif_250	-4.0600       	-0.7000       	5.7000e+00    	0.0000        
251		dif_251	-4.0600       	-0.7000       	6.5000e+00    	0.0000        
252		dif_252	-4.0600       	-0.4000       	2.5000e+00    	-3.0000       
253		dif_253	-4.0600       	-0.4000       	3.3000e+00    	-3.0000       
254		dif_254	-4.0600       	-0.4000       	4.1000e+00    	-3.0000       
255		dif_255	-4.0600       	-0.4000       	4.9000e+00    	-3.0000       
256		dif_256	-4.0600       	-0.4000       	5.7000e+00    	-3.0000       
257		dif_257	-4.0600       	-0.4000       	6.5000e+00    	-3.0000       
258		dif_258	-4.0600       	-0.4000       	2.5000e+00    	-2.4000       
259		dif_259	-4.0600       	-0.4000       	3.3000e+00    	-2.4000       
260		dif_260	-4.0600       	-0.4000       	4.1000e+00    	-2.4000       
261		dif_261	-4.0600       	-0.4000       	4.9000e+00    	-2.4000       
262		dif_262	-4.0600       	-0.4000       	5.7000e+00    	-2.4000       
263		dif_263	-4.0600       	-0.4000       	6.5000e+00    	-2.4000       
264		dif_264	-4.0600       	-0.4000       	2.5000e+00    	-1.8000       
265		dif_265	-4.0600       	-0.4000       	3.3000e+00    	-1.8000       
266		dif_266	-4.0600       	-0.4000       	4.1000e+00    	-1.8000       
267		dif_267	-4.0600       	-0.4000       	4.9000e+00    	-1.8000       
268		dif_268	-4.0600       	-0.4000       	5.7000e+00    	-1.8000       
269		dif_269	-4.0600       	-0.4000       	6.5000e+00    	-1.8000       
270		dif_270	-4.0600       	-0.4000       	2.5000e+00    	-1.2000       
271		dif_271	-4.0600       	-0.4000       	3.3000e+00    	-1.2000       
272		dif_272	-4.0600       	-0.4000       	4.1000e+00    	-1.2000       
273		dif_273	-4.0600       	-0.4000       	4.9000e+00    	-1.2000       
274		dif_274	-4.0600       	-0.4000       	5.7000e+00    	-1.2000       
275		dif_275	-4.0600       	-0.4000       	6.5000e+00    	-1.2000       
276		dif_276	-4.0600       	-0.4000       	2.5000e+00    	-0.6000       
277		dif_277	-4.0600       	-0.4000       	3.3000e+00    	-0.6000       
278		dif_278	-4.0600       	-0.4000       	4.1000e+00    	-0.6000       
279		dif_279	-4.0600       	-0.4000       	4.9000e+00    	-0.6000       
280		dif_280	-4.0600       	-0.4000       	5.7000e+00    	-0.6000       
281		dif_281	-4.0600       	-0.4000       	6.5000e+00    	-0.6000       
282		dif_282	-4.0600       	-0.4000       	2.5000e+00    	0.0000        
